,sex,has_photo,has_mobile,followers_count,education_form,relation,education_status,occupation_type,result,english
0,2,1,1,150,0,2,2,1,0,1
1,2,0,1,92,1,4,5,1,0,0
2,2,0,1,62,0,0,5,1,0,0
3,1,0,1,179,0,4,7,1,0,0
4,2,0,1,74,0,7,5,1,0,0
5,1,0,1,142,0,0,5,0,1,0
6,1,0,1,751,0,0,1,1,1,0
7,2,0,1,112,1,4,7,1,0,0
8,1,1,1,318,0,4,1,0,1,0
9,1,1,1,294,1,0,2,1,1,0
10,1,0,1,77,0,1,1,1,1,0
11,2,1,1,23,1,4,5,1,0,0
12,1,1,1,3148,2,6,5,0,1,0
13,2,1,1,86,0,4,2,1,0,0
14,2,0,1,89,0,4,1,1,0,1
15,2,1,1,243,1,0,2,1,0,0
16,2,1,1,322,2,4,1,1,0,0
17,2,0,1,212,0,0,5,1,0,0
18,2,0,1,62,0,4,5,1,0,0
19,2,1,1,86,0,1,5,0,0,0
20,2,1,1,76,1,1,5,1,0,0
21,2,1,1,68,0,4,5,0,0,0
22,1,0,1,606,0,0,6,1,1,0
23,1,1,1,172,0,0,2,1,1,0
24,2,0,1,69,0,4,5,1,1,0
25,1,1,1,369,0,0,5,0,1,0
26,2,0,1,588,1,4,5,0,0,0
27,2,1,1,217,1,0,4,0,0,1
28,1,0,1,2837,1,4,5,0,1,0
29,2,0,1,954,0,4,2,1,1,0
30,1,0,1,276,0,0,3,1,1,0
31,2,0,1,64,0,1,5,0,1,1
32,2,1,1,213,0,4,3,1,0,0
33,2,0,1,0,0,0,5,1,1,0
34,1,1,1,476,0,0,2,1,1,1
35,2,0,1,305,0,6,2,1,0,0
36,1,0,1,1204,0,4,1,1,1,1
37,1,1,1,287,0,7,5,0,1,0
38,2,0,1,54,0,4,0,1,0,0
39,2,1,1,464,0,1,2,0,1,0
40,2,1,1,62,0,4,5,1,0,0
41,2,0,1,78,1,4,2,1,0,0
42,1,1,1,172,0,1,5,1,1,0
43,2,1,1,8,0,4,4,0,0,1
44,1,1,1,495,0,0,2,1,1,1
45,1,1,1,306,1,0,4,1,1,0
46,2,1,1,78,0,4,5,1,0,0
47,2,0,1,7363,0,0,4,1,0,1
48,1,1,1,303,0,0,5,1,1,1
49,2,0,1,162,0,0,5,1,1,0
50,1,0,1,182,0,0,7,1,1,0
51,2,0,1,20,1,1,0,1,0,0
52,2,1,1,44,0,0,5,1,1,0
53,2,1,1,453,0,2,2,1,0,0
